601	//Temperature (K)	"//Density (l, kg/m3)"	
(	267.44	960.1	)
(	267.58	959.34	)
(	267.72	958.58	)
(	267.86	957.82	)
(	268	957.06	)
(	268.13	956.3	)
(	268.27	955.54	)
(	268.41	954.79	)
(	268.54	954.03	)
(	268.68	953.28	)
(	268.81	952.52	)
(	268.95	951.77	)
(	269.08	951.01	)
(	269.22	950.26	)
(	269.35	949.51	)
(	269.48	948.75	)
(	269.62	948	)
(	269.75	947.25	)
(	269.88	946.5	)
(	270.01	945.75	)
(	270.15	945	)
(	270.28	944.25	)
(	270.41	943.5	)
(	270.54	942.75	)
(	270.67	942	)
(	270.8	941.25	)
(	270.93	940.51	)
(	271.06	939.76	)
(	271.19	939.01	)
(	271.31	938.26	)
(	271.44	937.52	)
(	271.57	936.77	)
(	271.7	936.03	)
(	271.83	935.28	)
(	271.95	934.53	)
(	272.08	933.79	)
(	272.21	933.04	)
(	272.33	932.3	)
(	272.46	931.56	)
(	272.58	930.81	)
(	272.71	930.07	)
(	272.83	929.32	)
(	272.96	928.58	)
(	273.08	927.84	)
(	273.21	927.09	)
(	273.33	926.35	)
(	273.45	925.61	)
(	273.58	924.87	)
(	273.7	924.12	)
(	273.82	923.38	)
(	273.94	922.64	)
(	274.07	921.9	)
(	274.19	921.16	)
(	274.31	920.42	)
(	274.43	919.67	)
(	274.55	918.93	)
(	274.67	918.19	)
(	274.79	917.45	)
(	274.91	916.71	)
(	275.03	915.97	)
(	275.15	915.23	)
(	275.27	914.49	)
(	275.39	913.75	)
(	275.51	913.01	)
(	275.62	912.27	)
(	275.74	911.52	)
(	275.86	910.78	)
(	275.98	910.04	)
(	276.09	909.3	)
(	276.21	908.56	)
(	276.33	907.82	)
(	276.44	907.08	)
(	276.56	906.34	)
(	276.68	905.6	)
(	276.79	904.86	)
(	276.91	904.12	)
(	277.02	903.38	)
(	277.14	902.64	)
(	277.25	901.9	)
(	277.37	901.15	)
(	277.48	900.41	)
(	277.59	899.67	)
(	277.71	898.93	)
(	277.82	898.19	)
(	277.93	897.45	)
(	278.05	896.7	)
(	278.16	895.96	)
(	278.27	895.22	)
(	278.38	894.48	)
(	278.5	893.74	)
(	278.61	892.99	)
(	278.72	892.25	)
(	278.83	891.51	)
(	278.94	890.76	)
(	279.05	890.02	)
(	279.16	889.28	)
(	279.27	888.53	)
(	279.38	887.79	)
(	279.49	887.04	)
(	279.6	886.3	)
(	279.71	885.55	)
(	279.82	884.81	)
(	279.93	884.06	)
(	280.04	883.32	)
(	280.15	882.57	)
(	280.26	881.82	)
(	280.36	881.08	)
(	280.47	880.33	)
(	280.58	879.58	)
(	280.69	878.83	)
(	280.79	878.08	)
(	280.9	877.33	)
(	281.01	876.59	)
(	281.11	875.84	)
(	281.22	875.09	)
(	281.33	874.34	)
(	281.43	873.59	)
(	281.54	872.83	)
(	281.64	872.08	)
(	281.75	871.33	)
(	281.85	870.58	)
(	281.96	869.82	)
(	282.06	869.07	)
(	282.17	868.32	)
(	282.27	867.56	)
(	282.38	866.81	)
(	282.48	866.05	)
(	282.58	865.3	)
(	282.69	864.54	)
(	282.79	863.78	)
(	282.89	863.02	)
(	283	862.26	)
(	283.1	861.51	)
(	283.2	860.75	)
(	283.3	859.99	)
(	283.4	859.23	)
(	283.51	858.46	)
(	283.61	857.7	)
(	283.71	856.94	)
(	283.81	856.18	)
(	283.91	855.41	)
(	284.01	854.65	)
(	284.11	853.88	)
(	284.21	853.12	)
(	284.31	852.35	)
(	284.41	851.58	)
(	284.51	850.81	)
(	284.61	850.04	)
(	284.71	849.27	)
(	284.81	848.5	)
(	284.91	847.73	)
(	285.01	846.96	)
(	285.11	846.19	)
(	285.21	845.41	)
(	285.31	844.64	)
(	285.41	843.86	)
(	285.5	843.09	)
(	285.6	842.31	)
(	285.7	841.53	)
(	285.8	840.75	)
(	285.89	839.97	)
(	285.99	839.19	)
(	286.09	838.41	)
(	286.19	837.63	)
(	286.28	836.84	)
(	286.38	836.06	)
(	286.47	835.27	)
(	286.57	834.49	)
(	286.67	833.7	)
(	286.76	832.91	)
(	286.86	832.12	)
(	286.95	831.33	)
(	287.05	830.54	)
(	287.14	829.74	)
(	287.24	828.95	)
(	287.33	828.15	)
(	287.43	827.36	)
(	287.52	826.56	)
(	287.62	825.76	)
(	287.71	824.96	)
(	287.81	824.16	)
(	287.9	823.36	)
(	287.99	822.56	)
(	288.09	821.75	)
(	288.18	820.95	)
(	288.27	820.14	)
(	288.37	819.33	)
(	288.46	818.52	)
(	288.55	817.71	)
(	288.64	816.9	)
(	288.74	816.08	)
(	288.83	815.27	)
(	288.92	814.45	)
(	289.01	813.63	)
(	289.1	812.81	)
(	289.2	811.99	)
(	289.29	811.17	)
(	289.38	810.35	)
(	289.47	809.52	)
(	289.56	808.69	)
(	289.65	807.87	)
(	289.74	807.04	)
(	289.83	806.2	)
(	289.92	805.37	)
(	290.01	804.54	)
(	290.1	803.7	)
(	290.19	802.86	)
(	290.28	802.02	)
(	290.37	801.18	)
(	290.46	800.34	)
(	290.55	799.49	)
(	290.64	798.65	)
(	290.73	797.8	)
(	290.82	796.95	)
(	290.91	796.1	)
(	291	795.24	)
(	291.08	794.39	)
(	291.17	793.53	)
(	291.26	792.67	)
(	291.35	791.81	)
(	291.44	790.95	)
(	291.52	790.08	)
(	291.61	789.21	)
(	291.7	788.34	)
(	291.79	787.47	)
(	291.87	786.6	)
(	291.96	785.72	)
(	292.05	784.85	)
(	292.14	783.97	)
(	292.22	783.08	)
(	292.31	782.2	)
(	292.39	781.31	)
(	292.48	780.42	)
(	292.57	779.53	)
(	292.65	778.64	)
(	292.74	777.74	)
(	292.82	776.85	)
(	292.91	775.94	)
(	292.99	775.04	)
(	293.08	774.14	)
(	293.16	773.23	)
(	293.25	772.32	)
(	293.33	771.4	)
(	293.42	770.49	)
(	293.5	769.57	)
(	293.59	768.65	)
(	293.67	767.72	)
(	293.76	766.8	)
(	293.84	765.87	)
(	293.92	764.93	)
(	294.01	764	)
(	294.09	763.06	)
(	294.18	762.12	)
(	294.26	761.17	)
(	294.34	760.22	)
(	294.42	759.27	)
(	294.51	758.32	)
(	294.59	757.36	)
(	294.67	756.4	)
(	294.76	755.44	)
(	294.84	754.47	)
(	294.92	753.5	)
(	295	752.53	)
(	295.08	751.55	)
(	295.17	750.57	)
(	295.25	749.58	)
(	295.33	748.59	)
(	295.41	747.6	)
(	295.49	746.61	)
(	295.57	745.61	)
(	295.66	744.6	)
(	295.74	743.59	)
(	295.82	742.58	)
(	295.9	741.57	)
(	295.98	740.55	)
(	296.06	739.52	)
(	296.14	738.49	)
(	296.22	737.46	)
(	296.3	736.42	)
(	296.38	735.38	)
(	296.46	734.33	)
(	296.54	733.28	)
(	296.62	732.22	)
(	296.7	731.16	)
(	296.78	730.1	)
(	296.86	729.02	)
(	296.94	727.95	)
(	297.02	726.87	)
(	297.1	725.78	)
(	297.17	724.68	)
(	297.25	723.59	)
(	297.33	722.48	)
(	297.41	721.37	)
(	297.49	720.26	)
(	297.57	719.13	)
(	297.64	718.01	)
(	297.72	716.87	)
(	297.8	715.73	)
(	297.88	714.58	)
(	297.96	713.43	)
(	298.03	712.27	)
(	298.11	711.1	)
(	298.19	709.92	)
(	298.27	708.74	)
(	298.34	707.55	)
(	298.42	706.36	)
(	298.5	705.15	)
(	298.57	703.94	)
(	298.65	702.72	)
(	298.73	701.49	)
(	298.8	700.25	)
(	298.88	699	)
(	298.95	697.75	)
(	299.03	696.48	)
(	299.11	695.21	)
(	299.18	693.92	)
(	299.26	692.63	)
(	299.33	691.33	)
(	299.41	690.01	)
(	299.48	688.69	)
(	299.56	687.35	)
(	299.63	686.01	)
(	299.71	684.65	)
(	299.78	683.28	)
(	299.86	681.9	)
(	299.93	680.5	)
(	300.01	679.1	)
(	300.08	677.68	)
(	300.16	676.24	)
(	300.23	674.8	)
(	300.3	673.34	)
(	300.38	671.86	)
(	300.45	670.37	)
(	300.53	668.86	)
(	300.6	667.34	)
(	300.67	665.8	)
(	300.75	664.24	)
(	300.82	662.67	)
(	300.89	661.07	)
(	300.97	659.46	)
(	301.04	657.83	)
(	301.11	656.17	)
(	301.18	654.5	)
(	301.26	652.8	)
(	301.33	651.08	)
(	301.4	649.34	)
(	301.47	647.57	)
(	301.55	645.77	)
(	301.62	643.95	)
(	301.69	642.1	)
(	301.76	640.22	)
(	301.83	638.3	)
(	301.9	636.35	)
(	301.98	634.37	)
(	302.05	632.35	)
(	302.12	630.29	)
(	302.19	628.19	)
(	302.26	626.05	)
(	302.33	623.86	)
(	302.4	621.62	)
(	302.47	619.32	)
(	302.54	616.97	)
(	302.61	614.56	)
(	302.68	612.08	)
(	302.75	609.53	)
(	302.82	606.9	)
(	302.89	604.19	)
(	302.96	601.39	)
(	303.03	598.48	)
(	303.1	595.46	)
(	303.17	592.32	)
(	303.24	589.04	)
(	303.31	585.6	)
(	303.38	581.98	)
(	303.45	578.15	)
(	303.52	574.08	)
(	303.59	569.73	)
(	303.65	565.04	)
(	303.72	559.92	)
(	303.79	554.25	)
(	303.86	547.86	)
(	303.93	540.43	)
(	303.99	531.31	)
(	304.06	518.7	)
(	304.13	467.6	)
)			
